reference,degraded,fvnsim0,fvnsim1,fvnsim2,fvnsim3,fvnsim4,fvnsim5,fvnsim6,fvnsim7,fvnsim8,fvnsim9,fvnsim10,fvnsim11,fvnsim12,fvnsim13,fvnsim14,fvnsim15,fvnsim16,fvnsim17,fvnsim18,fvnsim19,fvnsim20,fvnsim21,fvnsim22,fvnsim23,fvnsim24,fvnsim25,fvnsim26,fvnsim27,fvnsim28,fvnsim29,fvnsim30,fvnsim31,moslqs
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\C_03_CLIP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\ref\R_03_CLIP_FA.wav,0.968775295,0.990506736,0.996744414,0.997417671,0.997635296,0.994584131,0.993423627,0.992511157,0.992524907,0.986438449,0.982897588,0.97027094,0.951766232,0.947202265,0.942785745,0.937581869,0.928902983,0.93680201,0.970967209,0.963828914,0.967953873,0.972761252,0.974004158,0.984638675,0.987479765,0.982584602,0.970751442,0.965979446,0.968501144,0.95230211,0.94033134,0.944958673,3.8
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_20_CHOP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_20_CHOP_FA.wav,0.923134617,0.967530342,0.982327556,0.98121169,0.981212078,0.982642809,0.981125836,0.979782516,0.975667208,0.970087279,0.970663682,0.965458533,0.954290342,0.962843066,0.974596201,0.970953534,0.965551697,0.965378318,0.96284285,0.963658584,0.96852651,0.957069878,0.937610942,0.950991131,0.96672457,0.972990699,0.972431458,0.969705148,0.942723355,0.893609725,0.882227172,0.865424263,1.9
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_12_CHOP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_12_CHOP_FA.wav,0.972914176,0.989366795,0.991448771,0.988512153,0.989353587,0.984497434,0.989788667,0.993343012,0.991724265,0.990000441,0.991224651,0.986588285,0.984437291,0.990253471,0.988422244,0.992398364,0.995653852,0.992839373,0.992104137,0.99134597,0.989948817,0.986619104,0.983907167,0.986001018,0.985842291,0.988555197,0.99271208,0.994671362,0.993446335,0.974076633,0.970491892,0.96339623,3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\C_06_COMPSPKR_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\ref\R_06_COMPSPKR_FA.wav,0.848915303,0.815254292,0.796867262,0.783847815,0.779747818,0.786489756,0.780269746,0.790542385,0.824509858,0.859451935,0.868562082,0.871683225,0.854729465,0.858128099,0.871528958,0.882499242,0.882022478,0.897021202,0.885764403,0.883074094,0.880144854,0.89843735,0.890040392,0.914136198,0.914064345,0.91611062,0.932204215,0.944883509,0.962370262,0.992786881,0.995525349,0.995843821,3.8
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_16_ECHO_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_16_ECHO_FG.wav,0.798983702,0.82687058,0.862654705,0.843667151,0.758409979,0.765345158,0.792824768,0.824427866,0.834604543,0.837843638,0.792094002,0.773702749,0.808753394,0.865308649,0.810794829,0.814092394,0.828855427,0.82839898,0.826097211,0.815026841,0.840493842,0.844898664,0.818787007,0.77628173,0.745447806,0.736303529,0.741936004,0.821257058,0.844987679,0.842124232,0.835189305,0.833305287,1.3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_03_NOISE_ML.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_03_NOISE_ML.wav,0.511236859,0.513773294,0.530763298,0.617573914,0.821351594,0.887318077,0.922755566,0.946714144,0.972987749,0.986141534,0.97379583,0.949941276,0.955531576,0.977957503,0.981259931,0.994225112,0.996713427,0.997643553,0.996752109,0.999194287,0.998320594,0.999034299,0.999045362,0.998770224,0.999897163,0.999903716,0.999931483,0.999971722,0.999967846,0.999892046,0.999870545,0.99987163,4.4
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_18_NOISE_ML.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_18_NOISE_ML.wav,-0.414940806,-0.397764453,-0.034247747,0.110217896,0.092128583,0.099545277,0.249304821,0.397432025,0.409534216,0.343580813,0.29925702,0.29693569,0.314807542,0.432341536,0.491546397,0.361919197,0.42287259,0.474637429,0.473551597,0.484207839,0.442805841,0.334710098,0.317887915,0.345628619,0.336893269,0.356966301,0.34255207,0.297085597,0.229072843,0.168547918,0.183481123,0.18713042,2.3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\C_14_CLIP_ML.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\ref\R_14_CLIP_ML.wav,0.916507879,0.939344808,0.954851954,0.944774588,0.966358414,0.982622254,0.984617818,0.988914586,0.983532161,0.953585122,0.945372782,0.947723247,0.973969737,0.961901905,0.935901273,0.937614639,0.931357891,0.884668758,0.857718824,0.795077246,0.665809702,0.607883627,0.638535285,0.561079997,0.493408562,0.490880769,0.565086998,0.542370644,0.578843194,0.589886193,0.584826689,0.611828058,1.8
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\C_11_COMPSPKR_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\ref\R_11_COMPSPKR_FG.wav,0.931466711,0.982168595,0.998013963,0.999328742,0.999781644,0.999865157,0.999795732,0.999884799,0.999952257,0.999861158,0.999452575,0.999424378,0.999555179,0.999753484,0.999872595,0.999883088,0.99978509,0.999475885,0.99887647,0.997191528,0.994311445,0.993283584,0.990919713,0.696016794,0.636803126,0.640652623,0.616184633,0.620211993,0.670132257,0.708489572,0.713466013,0.744981322,4.2
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\C_05_COMPSPKR_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\ref\R_05_COMPSPKR_FA.wav,0.912359975,0.887651957,0.854222426,0.853664832,0.846273306,0.83693951,0.821570854,0.816426995,0.827735279,0.826886694,0.847344793,0.861259116,0.858053309,0.843054611,0.830472275,0.858059642,0.878859495,0.896503347,0.879532897,0.868790843,0.87118546,0.879600192,0.914169473,0.975085245,0.97764065,0.978968482,0.994114996,0.996108101,0.998122725,0.994997748,0.996019287,0.992771427,3.6
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\C_07_CLIP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\ref\R_07_CLIP_FA.wav,0.902496532,0.942761559,0.969798741,0.968695288,0.970298584,0.970944617,0.975614451,0.965249017,0.95867587,0.943294336,0.908238325,0.896461216,0.90801324,0.929229577,0.932546053,0.926676353,0.909219583,0.899485609,0.877337237,0.867019195,0.891991136,0.929831331,0.932831738,0.923943857,0.940328968,0.964854078,0.960528045,0.949895491,0.924421895,0.840947895,0.820222022,0.830280341,3.5
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_10_NOISE_MK.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_10_NOISE_MK.wav,-0.02861485,0.211366126,0.446438851,0.446778568,0.443778256,0.487987272,0.513338347,0.531674876,0.533231319,0.535445788,0.524255512,0.520484378,0.522121284,0.531039106,0.54207723,0.551342605,0.553792853,0.556075366,0.603133544,0.624387119,0.636382163,0.653638019,0.667290086,0.677940068,0.683914745,0.692410737,0.704474926,0.722760731,0.739946219,0.727461289,0.717255041,0.675811578,3.8
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_08_CHOP_ML.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_08_CHOP_ML.wav,0.921497284,0.937318657,0.929568854,0.939761009,0.943478625,0.954669227,0.953446602,0.955513739,0.95292698,0.938840748,0.941482485,0.949956991,0.950466345,0.929270653,0.904880672,0.907888158,0.932423178,0.944977158,0.952489934,0.958699306,0.948317756,0.924795006,0.923295484,0.915297302,0.917769034,0.92980544,0.94154233,0.937280898,0.921170599,0.839861833,0.825827075,0.823203444,3.7
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_13_NOISE_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_13_NOISE_FA.wav,0.570865209,0.621343514,0.634764333,0.590480774,0.567422793,0.589491072,0.541449494,0.502895499,0.53020008,0.544477275,0.563899875,0.530873456,0.481770583,0.461537596,0.515321976,0.572116815,0.567003678,0.583701413,0.577806105,0.573039582,0.554019501,0.56360472,0.550121677,0.56631308,0.611590299,0.642192945,0.634515808,0.653109905,0.630641268,0.721318174,0.785006343,0.781811847,2.3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_11_CHOP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_11_CHOP_FA.wav,0.986446345,0.988283655,0.988549461,0.989020272,0.991055995,0.990989139,0.991083794,0.992698874,0.994004447,0.993941374,0.995704205,0.995642165,0.99830599,0.997164611,0.992875181,0.990102217,0.989204364,0.989464555,0.995682526,0.99762933,0.99550921,0.987783617,0.984886428,0.989411741,0.992329238,0.995395443,0.995380094,0.99776427,0.996517967,0.99139804,0.990815337,0.990567733,3.6
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\C_02_COMPSPKR_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\ref\R_02_COMPSPKR_FA.wav,0.999392003,0.997648039,0.899083907,0.865969958,0.846356902,0.856559919,0.869610101,0.860199392,0.844129282,0.846000207,0.85926942,0.8789561,0.884855984,0.8810241,0.877951933,0.891758673,0.915596345,0.957987784,0.979932164,0.995761904,0.996345639,0.997283581,0.999913069,0.999725087,0.999489007,0.999136943,0.999039772,0.999191852,0.999431305,0.99942659,0.999219382,0.999123783,4.3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_12_ECHO_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_12_ECHO_FG.wav,0.920693049,0.941201191,0.948697489,0.931794687,0.909067663,0.921166367,0.903923708,0.894635717,0.914757976,0.917399842,0.905152808,0.903829489,0.913730189,0.91326715,0.91782815,0.935174303,0.92269639,0.9253582,0.909460663,0.912793751,0.921456257,0.93642548,0.932266704,0.902569742,0.901478996,0.894038623,0.905224789,0.932797613,0.93065444,0.913308269,0.92701155,0.931415046,2.7
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\C_12_COMPSPKR_MK.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\ref\R_12_COMPSPKR_MK.wav,0.955558909,0.985821984,0.9973124,0.998766819,0.999389762,0.999705252,0.999809346,0.999659939,0.999543431,0.998898517,0.998236341,0.998061578,0.998698602,0.999151928,0.99909588,0.998562343,0.998153274,0.997437295,0.996653557,0.996542051,0.989196616,0.977182197,0.9523193,0.529114315,0.52479572,0.551159459,0.52458216,0.534761188,0.594301839,0.629211062,0.624988849,0.645031709,3.7
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_18_ECHO_ML.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_18_ECHO_ML.wav,0.825052229,0.819845445,0.738574721,0.732198493,0.73851319,0.731808114,0.703699526,0.792661581,0.805955595,0.696171804,0.656628499,0.636876943,0.657511114,0.736095784,0.760158335,0.751587104,0.789164693,0.768834015,0.686960009,0.746138624,0.672668025,0.599337815,0.599929131,0.652243643,0.632607789,0.704055563,0.767812779,0.805894984,0.802129304,0.793887106,0.819395771,0.814245962,1.3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\C_10_CLIP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\ref\R_10_CLIP_FA.wav,0.726030468,0.810037134,0.874272633,0.881870112,0.886298054,0.886493719,0.884339702,0.876366668,0.817610084,0.754608038,0.73637716,0.741785877,0.703344094,0.750722389,0.804360157,0.825363901,0.8100537,0.813702224,0.839365252,0.794998878,0.822388595,0.848122221,0.76755893,0.748133503,0.810837692,0.860760045,0.845895883,0.804298261,0.703384815,0.569100436,0.539168159,0.55682939,1.5
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_19_ECHO_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_19_ECHO_FG.wav,0.855856876,0.905139886,0.931161109,0.920995422,0.899678398,0.910261234,0.874428786,0.871846684,0.889717376,0.882633565,0.887732214,0.854104799,0.846350662,0.856533159,0.862251493,0.85566982,0.851023516,0.872146235,0.871387791,0.873195055,0.913583264,0.907668295,0.876473375,0.853545851,0.837812318,0.833672776,0.86862054,0.902987312,0.905557203,0.877316297,0.870110886,0.864791075,1.6
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_14_ECHO_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_14_ECHO_FG.wav,0.980848613,0.978778744,0.967255748,0.956807589,0.947466451,0.957286944,0.953077979,0.931013028,0.953075065,0.952578158,0.956625016,0.962904834,0.939968962,0.930572622,0.93431691,0.954745721,0.976359298,0.974585048,0.978423094,0.985106816,0.985044868,0.983684539,0.980492277,0.976629455,0.97680059,0.980695897,0.992308442,0.992624396,0.99240569,0.993588749,0.992961418,0.992379275,3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_07_NOISE_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_07_NOISE_FA.wav,0.40646796,0.464893962,0.526647241,0.549790291,0.576216645,0.621899239,0.656547495,0.686045204,0.705517969,0.626022505,0.593636998,0.569006625,0.560387884,0.565278217,0.602411834,0.645107409,0.703776215,0.784070079,0.832659236,0.895035472,0.97605602,0.947046197,0.934440735,0.949678926,0.981117321,0.995627568,0.998173617,0.997289967,0.998593886,0.999270974,0.99913613,0.99908237,4.4
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\C_01_COMPSPKR_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\compspkr\ref\R_01_COMPSPKR_FA.wav,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.7
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_15_CHOP_ML.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_15_CHOP_ML.wav,0.906479913,0.902812723,0.845664892,0.843552165,0.852777108,0.875577864,0.875259869,0.905362483,0.923422915,0.854384691,0.847776313,0.841279862,0.891314424,0.911445512,0.868985737,0.900871796,0.921130046,0.885739776,0.871452052,0.906232257,0.891828143,0.868830611,0.855991291,0.849981398,0.859231962,0.888739299,0.898903741,0.902009053,0.868840756,0.779217529,0.800391739,0.79876803,3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_17_NOISE_ML.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_17_NOISE_ML.wav,0.677398777,0.687518575,0.548292215,0.471272622,0.402202414,0.467836311,0.446876058,0.5004153,0.526800241,0.393285472,0.365990537,0.315720619,0.32605848,0.373243723,0.425443827,0.479320483,0.485142535,0.445512229,0.481665717,0.512574782,0.508592019,0.320144935,0.230921267,0.282321813,0.279245343,0.451284902,0.61276777,0.718097709,0.703985947,0.427035908,0.463084569,0.454883924,1.6
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\C_05_CLIP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\ref\R_05_CLIP_FA.wav,0.947811103,0.973829029,0.983464534,0.987548004,0.989171365,0.987111485,0.979568972,0.97648338,0.969390097,0.958170646,0.948720411,0.949499126,0.934311819,0.937710915,0.95611908,0.939205581,0.923010712,0.935752571,0.942050843,0.948365659,0.962443131,0.955628791,0.955941991,0.966240763,0.972961913,0.974533101,0.972385078,0.967610011,0.95495559,0.920752251,0.89342872,0.914877647,3.5
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_09_NOISE_FG.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_09_NOISE_FG.wav,0.614061377,0.503798524,0.486709872,0.499067217,0.521753436,0.522968301,0.509744047,0.505776111,0.506049496,0.520427193,0.534666485,0.53694785,0.533401279,0.537648564,0.549511414,0.551574257,0.546227676,0.550239469,0.561927006,0.563145681,0.56828048,0.626299295,0.704034281,0.721689342,0.746000589,0.771304788,0.806453166,0.899268797,0.969343855,0.999242248,0.999323113,0.99941864,3.3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_22_CHOP_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_22_CHOP_FA.wav,0.929983725,0.974364345,0.989247129,0.990110164,0.989758258,0.993986789,0.997475217,0.996335806,0.996280363,0.997985563,0.997678749,0.996774349,0.995964704,0.997680744,0.996770123,0.994116688,0.991680877,0.996669212,0.995007706,0.992535359,0.991768722,0.984674586,0.964009924,0.511019828,0.486158103,0.521336077,0.497631337,0.474335123,0.513198471,0.543946814,0.514829956,0.537099344,3.4
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_04_ECHO_ML.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_04_ECHO_ML.wav,0.998834906,0.996802788,0.995159499,0.991557233,0.988754696,0.997756627,0.998064805,0.998222348,0.998168553,0.999673988,0.999443886,0.999063726,0.99967811,0.999850712,0.999829926,0.999837289,0.999910606,0.998104018,0.995361268,0.996165297,0.994786691,0.994771961,0.997566394,0.999288816,0.998524659,0.999802986,0.999879603,0.999882013,0.999834653,0.999639772,0.999675034,0.999438831,4.6
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\C_02_CLIP_MK.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\clip\ref\R_02_CLIP_MK.wav,0.999672026,0.999881039,0.999954444,0.999925521,0.999928258,0.999927939,0.99994928,0.999969076,0.999981373,0.999952833,0.999839956,0.999430847,0.999405754,0.999472054,0.999132424,0.998119795,0.996900389,0.994583041,0.989054224,0.995451408,0.997561518,0.996147309,0.995249784,0.994125666,0.99461715,0.994540813,0.996914866,0.99641524,0.995200988,0.99320648,0.995564161,0.996864363,4.5
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_05_ECHO_FA.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_05_ECHO_FA.wav,0.929405513,0.962952309,0.970756409,0.966041701,0.970978964,0.9746165,0.973371947,0.974800353,0.973886027,0.966895987,0.970970076,0.972203918,0.977781893,0.982340314,0.981053367,0.976648107,0.977586088,0.981202656,0.981318749,0.985769538,0.982127858,0.979960137,0.984024589,0.988874416,0.987687811,0.984992062,0.986290979,0.98308586,0.972225962,0.959512885,0.957903695,0.956797156,3.8
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\C_08_NOISE_MK.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\noise\ref\R_08_NOISE_MK.wav,0.548311248,0.552306316,0.558231223,0.563249797,0.578871834,0.62102066,0.671232241,0.663366843,0.667105407,0.681061031,0.709788161,0.78083211,0.81688567,0.813084795,0.813012943,0.836400363,0.86669098,0.883935915,0.950616645,0.972290607,0.991337192,0.999466991,0.999521209,0.999693612,0.999465764,0.998677919,0.999257726,0.999306481,0.998553823,0.997951519,0.999523729,0.999625455,4.1
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\C_04_ECHO_MK.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\echo\ref\R_04_ECHO_MK.wav,0.992348861,0.987792175,0.98638382,0.985291801,0.985400344,0.986259612,0.986815577,0.985564239,0.986774914,0.989549964,0.997991057,0.999272816,0.999682408,0.999343279,0.99627248,0.993243513,0.989578897,0.989514059,0.991560618,0.993030002,0.995575195,0.996606053,0.999391825,0.998121693,0.999660413,0.99984588,0.999903077,0.999937776,0.999903846,0.999812321,0.999372166,0.99979543,4.3
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_21_CHOP_ML.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_21_CHOP_ML.wav,0.991164646,0.995125465,0.997810619,0.99888074,0.999431011,0.999687769,0.99985021,0.999856269,0.999404199,0.998637605,0.998748498,0.997836834,0.99757017,0.999523578,0.999682567,0.999881247,0.99987175,0.999771563,0.999416886,0.999094367,0.998701833,0.997405041,0.986824174,0.747956929,0.621916329,0.524826202,0.526161071,0.532057124,0.577858555,0.605898576,0.604829816,0.654119112,3.8
C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\C_07_CHOP_MK.wav,C:\Users\Martzen\Desktop\TCD-VOIP\Test Set\chop\ref\R_07_CHOP_MK.wav,0.992790092,0.998061122,0.998343399,0.996895103,0.995418741,0.993572483,0.993404915,0.994738745,0.995928703,0.994383717,0.993851721,0.993582437,0.991790859,0.992346981,0.997694763,0.994869726,0.997611382,0.994791756,0.996889585,0.995786923,0.998903798,0.998770875,0.994643587,0.991774306,0.989885389,0.991891754,0.995323729,0.996001792,0.989877203,0.976177097,0.978114858,0.975867494,3
